Taxpayer Id,Taxpayer Name,Location Name,Address,City,State,Zip,Zip+4,County,Location Number,Permit Type,Permit Number,Permit Status,Permit Begin Date,Permit End Date
32052621755,KND STORES INC,FOREVER VAPES,13519 MONTFORT DR,DALLAS,TX,75240,5120.0,DALLAS,2,E-CIG RETAILER,21010816.0,ACTIVE,01/01/2022,
32071924321,VAPE CRAFT LLC,VAPE CRAFT,5462 LEMMON AVE,DALLAS,TX,75209,6240.0,DALLAS,5,E-CIG RETAILER,23002958.0,ACTIVE,04/15/2023,
32081058920,GREENHOUSE SMOKE AND VAPES LLC,GREENHOUSE SMOKE AND VAPES,301 E JEFFERSON ST,GRAND PRAIRIE,TX,75051,1951.0,DALLAS,1,E-CIG RETAILER,22006770.0,ACTIVE,04/20/2022,
32083174410,ARI STORES LLC,FOREVER VAPES,13605 MIDWAY RD STE 160,DALLAS,TX,75244,4344.0,DALLAS,1,E-CIG RETAILER,22006779.0,ACTIVE,04/28/2022,
32083872203,GNS SON'S INC,MIRACLE SMOKE & VAPE STORE,1405 E GRAUWYLER RD,IRVING,TX,75061,5123.0,DALLAS,1,E-CIG RETAILER,22006771.0,ACTIVE,05/01/2022,
32085758962,JAY SRI GANESH LLC,SMOKE AND VAPE,1101 N CARRIER PKWY # 115,GRAND PRAIRIE,TX,75050,3382.0,DALLAS,1,E-CIG RETAILER,22010970.0,ACTIVE,08/12/2022,
32086329631,SRK STORES LLC,WAKE N VAPE,1914B S JUPITER RD,GARLAND,TX,75042,7705.0,DALLAS,1,E-CIG RETAILER,22013346.0,ACTIVE,12/01/2022,
32091559917,SAK BUSINESS LLC,VAPE & MORE,3110 SATURN RD STE 117,GARLAND,TX,75041,4316.0,DALLAS,1,E-CIG RETAILER,23007882.0,ACTIVE,10/01/2023,
32091092208,ELLIADRIA LLC,ENEMI VAPES,2210 SEA ISLAND DR,DALLAS,TX,75232,2708.0,DALLAS,1,E-CIG RETAILER,,INACTIVE,09/13/2023,
32087525930,AMRELVI LLC,STOP & VAPE,131 N PLANO RD,RICHARDSON,TX,75081,3827.0,DALLAS,1,E-CIG RETAILER,23001756.0,ACTIVE,03/01/2023,
17527658086,"BIG TEX MINI MART, INC.",MESQUITE VAPES,714 N GALLOWAY AVE,MESQUITE,TX,75149,3472.0,DALLAS,3,E-CIG RETAILER,21004657.0,ACTIVE,01/01/2022,
32004352525,"CORNWELL & ASSOCIATES, LLC",COOL VAPES,8786 FERGUSON RD STE 130A,DALLAS,TX,75228,7918.0,DALLAS,1,E-CIG RETAILER,21012587.0,ACTIVE,01/01/2022,
32020501311,DENNISA LYNN MOORE,JOOSIE VAPES,2011 N GALLOWAY AVE,MESQUITE,TX,75149,1552.0,DALLAS,2,E-CIG RETAILER,22005408.0,ACTIVE,03/18/2022,
32044032319,88 VAPE 1 INC,VAPOR LAND,2810 E TRINITY MILLS RD STE 213,CARROLLTON,TX,75006,2253.0,DALLAS,2,E-CIG RETAILER,21011001.0,ACTIVE,01/01/2022,
32044933557,AAIRH LLC,AAIRH VAPES & NOVELTIES,11536 HARRY HINES BLVD STE 201A,DALLAS,TX,75229,8121.0,DALLAS,2,E-CIG RETAILER,22001093.0,INACTIVE,01/01/2022,
32050279697,ALL VAPES LLC,ALL VAPES,3409 MAIN ST STE A,DALLAS,TX,75226,1643.0,DALLAS,2,E-CIG RETAILER,22003032.0,ACTIVE,01/14/2022,
32050692980,GOOD SMOKES LLC,VAPE N VAPOR IRVING,2910 N BELT LINE RD STE 2910,IRVING,TX,75062,5247.0,DALLAS,4,E-CIG RETAILER,22002398.0,ACTIVE,01/14/2022,
32051704842,"RAD GLASS, INC.","PPU-PIPES, PAPES & VAPES",13410 PRESTON RD STE H,DALLAS,TX,75240,5286.0,DALLAS,5,E-CIG RETAILER,22002822.0,ACTIVE,02/01/2022,
32052833780,VICTOR MAIDEN,VIC VAPE SHOP,2121 NORTHWEST HWY,GARLAND,TX,75041,4858.0,DALLAS,3,E-CIG RETAILER,22000611.0,INACTIVE,01/04/2022,07/02/2022
32052838524,"JK VAPES, LLC",JK VAPES,1017 E TRINITY MILLS RD STE 116,CARROLLTON,TX,75006,1458.0,DALLAS,1,E-CIG RETAILER,22003249.0,ACTIVE,01/29/2022,
32053673508,RENEE MCMAHON,D TOWN VAPES,101 W CAMP WISDOM RD STE F,DUNCANVILLE,TX,75116,3300.0,DALLAS,1,E-CIG RETAILER,22001579.0,ACTIVE,01/14/2022,
32060957407,S&S WIRELESS ZONE INC,VAPE CITY 129,4302 W CAMP WISDOM RD,DALLAS,TX,75237,2417.0,DALLAS,129,E-CIG RETAILER,23001327.0,ACTIVE,02/11/2023,
32060957407,S&S WIRELESS ZONE INC,VAPE CITY 136,1704 MILITARY PKWY,MESQUITE,TX,75149,3673.0,DALLAS,139,E-CIG RETAILER,23001323.0,ACTIVE,02/11/2023,
32061600865,SRI REGMI INC,COIT SMOKE AND VAPE,7995 LYNDON B JOHNSON FWY STE 108,DALLAS,TX,75251,1238.0,DALLAS,4,E-CIG RETAILER,21013258.0,ACTIVE,01/01/2022,
32067474778,SAM'S VAPE & TOBACCO LLC,SAM'S VAPE & TOBACCO LLC,1402 NORTHWEST HWY STE 100A,GARLAND,TX,75041,5200.0,DALLAS,2,E-CIG RETAILER,21006835.0,INACTIVE,01/01/2022,11/01/2022
32068712689,WYLIE VAPE LLC,WYLIE VAPE,2050 N PLANO RD STE 350,RICHARDSON,TX,75082,4499.0,DALLAS,3,E-CIG RETAILER,23008089.0,ACTIVE,10/05/2023,
32069136219,100 SMOKE VAPE CORP,100% SMOKE AND VAPE,3027 N BELT LINE RD,IRVING,TX,75062,6878.0,DALLAS,1,E-CIG RETAILER,21006884.0,ACTIVE,01/01/2022,
32069392747,HIGH ROLLER VAPES & NOVELTIES INC,HIGH ROLLER VAPES & NOVELTIES INC,11335 HARRY HINES BLVD,DALLAS,TX,75229,3410.0,DALLAS,1,E-CIG RETAILER,22000304.0,ACTIVE,01/01/2022,
32070146488,LAYAN INC.,SMOKE & VAPES,2842 W DAVIS ST,DALLAS,TX,75211,2823.0,DALLAS,1,E-CIG RETAILER,21005817.0,ACTIVE,01/01/2022,
32070268381,RAKH MOWLA LLC,USA SMOKE & VAPE,2640 OLD DENTON RD STE 156,CARROLLTON,TX,75007,5453.0,DALLAS,1,E-CIG RETAILER,21010535.0,ACTIVE,01/01/2022,
32070270262,BRIGHTSIRIUS LLC,VAPE & LEAF,1903 N JOSEY LN,CARROLLTON,TX,75006,4218.0,DALLAS,2,E-CIG RETAILER,22011626.0,ACTIVE,10/05/2022,
32070534873,NASMAS ENTERPRISE LLC,HOUSE OF VAPES,4235 W NORTHWEST HWY STE 500,DALLAS,TX,75220,5058.0,DALLAS,3,E-CIG RETAILER,,INACTIVE,11/01/2023,
32070738896,TOP CLOUD VAPES INCORPORATED,TOP CLOUD VAPES,8600 LAKEVIEW PKWY STE D,ROWLETT,TX,75088,4399.0,DALLAS,1,E-CIG RETAILER,21010901.0,ACTIVE,01/01/2022,
