Location Name,Address,City,Zip,Zip+4,County
LILY'S SMOKE SHOP #2,1205 WAYSIDE DR,HOUSTON,77011,2523,HARRIS
VAPE PROS,4616 CANAL ST STE B,HOUSTON,77011,2010,HARRIS
SMOKE TIME,13607 VETERANS MEMORIAL DR,HOUSTON,77014,1001,HARRIS
VAPES EMPIRE,14451 T C JESTER BLVD STE B,HOUSTON,77014,1319,HARRIS
EAST SIDE SMOKE,14225 EAST FWY STE B,HOUSTON,77015,5921,HARRIS
HOLY SMOKES #6,13374 WOODFOREST BLVD,HOUSTON,77015,2826,HARRIS
"HOMIEZ SMOKE SHOP, LLC",12322 EAST FWY STE B2,HOUSTON,77015,5532,HARRIS
SMOKE CITY,12804 EAST FWY STE 400,HOUSTON,77015,5708,HARRIS
SMOKE N VAPE,12620 WOODFOREST BLVD STE 450,HOUSTON,77015,3660,HARRIS
UVALDE SMOKE + VAPE,606 UVALDE RD,HOUSTON,77015,3721,HARRIS
"VAPES R US, LLC",826 BARBARA MAE ST STE G2,HOUSTON,77015,4839,HARRIS
"VAPES R US, LLC",12753 EAST FWY,HOUSTON,77015,5605,HARRIS
BLAZIN SMOKE,9440 SHADY DR STE B,HOUSTON,77016,4757,HARRIS
SLIM'S SMOKE SHOP,7103 LANGLEY RD,HOUSTON,77016,3325,HARRIS
SMOKE & CELL STOP,5915 MOHAWK ST STE A1,HOUSTON,77016,1860,HARRIS
"A TO Z SMOKES II, INC",8359 WINKLER DR,HOUSTON,77017,4509,HARRIS
PLAYAZ SMOKE SHOP,1408 AHRENS ST,HOUSTON,77017,5502,HARRIS
SMOKE FOR LESS LLC,8452 GULF FWY STE E,HOUSTON,77017,5093,HARRIS
THE VAPE GUYS,2210 ALLEN GENOA RD STE E,HOUSTON,77017,6847,HARRIS
INDEPENDENCE HEIGHTS CBD-HEMP-VAPOR SHOP LLC,4630 YALE ST,HOUSTON,77018,3359,HARRIS
CRAZY HEAD VAPES,706 W GRAY ST,HOUSTON,77019,4325,HARRIS
EAST SIDE SMOKE #2,663 ROUSE ST,HOUSTON,77020,5102,HARRIS
VAPE BASE,6705 LYONS AVE STE B,HOUSTON,77020,5132,HARRIS
AA SMOKE SHOP,4529 OLD SPANISH TRL STE B,HOUSTON,77021,1652,HARRIS
DS SMOKE & VAPOR,3929 OLD SPANISH TRL UNIT 90,HOUSTON,77021,1463,HARRIS
JUICIN & VAPING,6065 SCOTT ST,HOUSTON,77021,2663,HARRIS
SMOKE BOX SMOKE SHOP,4816 MARTIN LUTHER KING BLVD,HOUSTON,77021,2930,HARRIS
SMOKERS PLANET,5090 GRIGGS RD # 105,HOUSTON,77021,3210,HARRIS
VAPES & VIBES,3934 OLD SPANISH TRL STE B,HOUSTON,77021,1462,HARRIS
HOUSTON 420 SMOKE SHOP,4121 NORTH FWY,HOUSTON,77022,4205,HARRIS
"PUFF BOX, SMOKE SHOP",319 TIDWELL RD UNIT D1,HOUSTON,77022,2058,HARRIS
"TABOO SMOKE EMPORIUM, LLC",641 E CROSSTIMBERS ST,HOUSTON,77022,3723,HARRIS
365 SMOKE AND VAPE #6,2120 S WAYSIDE DR STE J,HOUSTON,77023,3900,HARRIS
FLY SMOKE SHOP 2,1602 CULLEN BLVD,HOUSTON,77023,3046,HARRIS
THE NONNA SMOKE & HYDRO,2901 TELEPHONE RD,HOUSTON,77023,5310,HARRIS
VAPE TOWN,5819 GULF FWY STE 400,HOUSTON,77023,5354,HARRIS
"337 SMOKE AND VAPE SHOP, LLC",10505 TOWN AND COUNTRY WAY STE 19853,HOUSTON,77024,2214,HARRIS
HIGH END SMOKE SHOP,7925 KATY FWY STE K,HOUSTON,77024,1957,HARRIS
HIGH ROLLER VAPE & SMOKE,5225 LOCKWOOD DR,HOUSTON,77026,1912,HARRIS
JENSEN SMOKE SHOP,1914 JENSEN DR,HOUSTON,77026,7435,HARRIS
KELLEY SMOKE & SLURP,4003 KELLEY ST STE E,HOUSTON,77026,1586,HARRIS
VAPE BAZAAR,4001 RICHMOND AVE STE E,HOUSTON,77027,6850,HARRIS
VAPE TIME #4,3161 WEST LOOP S STE B,HOUSTON,77027,6106,HARRIS
VC SMOKE AND VAPE SHOP,11929 EAST FWY STE C,HOUSTON,77029,2026,HARRIS
SUGARLAND SMOKE SHOP,11422 SOUTHWEST FWY STE 700,HOUSTON,77031,3624,HARRIS
TEXAS SMOKE SHOP,5627 ALDINE BENDER RD STE 3,HOUSTON,77032,4534,HARRIS
SHAWT'S SMOKE SHOP,6027 BELMARK ST,HOUSTON,77033,1217,HARRIS
ASTRO VAPE-SMOKE SHOP,12260 GULF FWY STE A3,HOUSTON,77034,4437,HARRIS
D/B/A TEXAN SMOKE SHOP 3,11211 ALMEDA GENOA RD STE A-100,HOUSTON,77034,3689,HARRIS
MILE HIGH SMOKE AND VAPE,10008 GULF FWY STE B,HOUSTON,77034,1056,HARRIS
SMOKE DROP,11400 GULF FWY STE E,HOUSTON,77034,3549,HARRIS
SMOKE STATION 45,1005 EDGEBROOK DR STE 1005C,HOUSTON,77034,1868,HARRIS
THE VAPE HUB,364 FM 1959 RD STE B,HOUSTON,77034,5414,HARRIS
VAPE TOWN,91 E EDGEBROOK DR,HOUSTON,77034,1408,HARRIS
VITRUM SMOKE,11550 GULF FWY STE C-1,HOUSTON,77034,3514,HARRIS
ASHLEY SMOKE SHOP,11729 AIRLINE DR,HOUSTON,77037,1001,HARRIS
WIRELESS SMOKE LLC,10998 NORTH FWY STE Q,HOUSTON,77037,1134,HARRIS
NEFERTITI SMOKE SHOP,1439 W MOUNT HOUSTON RD,HOUSTON,77038,3805,HARRIS
TY' SMOKE AND MORE,1736 W MOUNT HOUSTON RD,HOUSTON,77038,3812,HARRIS
TEXAN SMOKE SHOP,3308 ALDINE MAIL ROUTE RD STE C,HOUSTON,77039,4659,HARRIS
VAPE LAND & SMOKE LAND,3705 ALDINE MAIL ROUTE RD STE A,HOUSTON,77039,4656,HARRIS
GREEN SMOKE VAPE AND TOBACCO,14121 NORTHWEST FWY STE F,HOUSTON,77040,5064,HARRIS
TEXAS AK SMOKE LLC,7404 FAIRBANKS N HOUSTON RD,HOUSTON,77040,2502,HARRIS
CLOUD HOUSE SMOKE SHOP LLC,2620 W SAM HOUSTON PKWY S,HOUSTON,77042,3612,HARRIS
TOP CHOICE SMOKE SHOP 4,1621 UPLAND DR STE B,HOUSTON,77043,3702,HARRIS
365 SMOKE SHOP,3655 W OREM DR STE B,HOUSTON,77045,4425,HARRIS
SHIVAY KIRBY VAPE LP,12703 KIRBY DR,HOUSTON,77047,2621,HARRIS
SMOKE & ROCK,14519 CULLEN BLVD,HOUSTON,77047,5715,HARRIS
AK SMOKE LLC,4720 ALMEDA GENOA RD STE 113,HOUSTON,77048,4662,HARRIS
AB SMOKE AND VAPES,14672 WALLISVILLE RD,HOUSTON,77049,4436,HARRIS
SMOKE GALLERY,5805 E SAM HOUSTON PKWY N,HOUSTON,77049,2504,HARRIS
SMOKE & VAPE POT,5417 ANDERSON RD STE D,HOUSTON,77053,2154,HARRIS
HOUSTON SMOKE SHOP LLC,8403 ALMEDA RD STE C,HOUSTON,77054,7104,HARRIS
ROCK & SMOKE,11320 SPACE CENTER BLVD STE 100A,HOUSTON,77059,3652,HARRIS
CANDY PAINT EXOTIC SMOKE SHOP,12726 NORTH FWY STE D,HOUSTON,77060,1320,HARRIS
IMPERIAL SMOKE,16272 IMPERIAL VALLEY DR STE D,HOUSTON,77060,3566,HARRIS
