Taxpayer Id,Taxpayer Name,Location Name,Address,City,State,Zip,Zip+4,County,Location Number,Permit Type,Permit Number,Permit Status,Permit Begin Date,Permit End Date
32075756620,SYNVESTOR INC,GS VAPE N SMOKE,6850 HIGHWAY 6 STE 500,MISSOURI CITY,TX,77459,5473.0,FORT BEND,6,E-CIG RETAILER,23007423.0,ACTIVE,09/14/2023,
32087354398,MAP ROSENBERG LLC,VAPE ON,5140 AVENUE H,ROSENBERG,TX,77471,2014.0,FORT BEND,1,E-CIG RETAILER,22014405.0,ACTIVE,01/01/2023,
32076669095,TEJAS 9 LLC,VAPE N MORE,924 FM 359 RD,RICHMOND,TX,77406,2010.0,FORT BEND,2,E-CIG RETAILER,22004644.0,ACTIVE,02/25/2022,
12607150542,NSA CORPORATION,CIVIL VAPES,3123 HIGHWAY 6,SUGAR LAND,TX,77478,4367.0,FORT BEND,4,E-CIG RETAILER,22002802.0,ACTIVE,01/01/2022,
32045708404,"A & A TOBACCO, LLC.",PINE APPLE XPRESS SUGAR LAND SMOKE SHOP & VAPE,4411 HIGHWAY 6,SUGAR LAND,TX,77478,4476.0,FORT BEND,10,E-CIG RETAILER,21004748.0,ACTIVE,01/01/2022,
32051703802,"VAPE ON, LLC.",IMPERIAL VAPOR CO,2645 TOWN CENTER BLVD N,SUGAR LAND,TX,77479,2319.0,FORT BEND,1,E-CIG RETAILER,21012086.0,ACTIVE,01/01/2022,
32051703802,"VAPE ON, LLC.",IMPERIAL VAPOR CO #2,7930 W GRAND PKWY S STE 170,RICHMOND,TX,77406,5858.0,FORT BEND,2,E-CIG RETAILER,21012087.0,ACTIVE,01/01/2022,
32060957407,S&S WIRELESS ZONE INC,VAPE CITY 10,5011 HIGHWAY 6 STE 102,MISSOURI CITY,TX,77459,4799.0,FORT BEND,14,E-CIG RETAILER,21010052.0,ACTIVE,01/01/2022,
32060957407,S&S WIRELESS ZONE INC,VAPE CITY 127,28120 SOUTHWEST FWY STE 701,ROSENBERG,TX,77471,7149.0,FORT BEND,127,E-CIG RETAILER,23001326.0,ACTIVE,02/11/2023,
32060957407,S&S WIRELESS ZONE INC,VAPE CITY 168,14009 FM 1464 RD,SUGAR LAND,TX,77498,9601.0,FORT BEND,168,E-CIG RETAILER,23008067.0,ACTIVE,10/05/2023,
32069266974,S&A VAPING INC,IT'S 4:20,10140 S HIGHWAY 6,SUGAR LAND,TX,77498,,FORT BEND,5,E-CIG RETAILER,21010113.0,ACTIVE,01/01/2022,
32069266974,S&A VAPING INC,VAPE CITY 44,5000 KATY MILLS CIR,KATY,TX,77494,4402.0,FORT BEND,11,E-CIG RETAILER,21010119.0,ACTIVE,01/01/2022,
32069266974,S&A VAPING INC,VAPE CITY 81,5000 KATY MILLS CIR STE 35,KATY,TX,77494,4402.0,FORT BEND,15,E-CIG RETAILER,23006356.0,ACTIVE,11/07/2022,
32070151207,"SNSN ENTERPRISES, LLC",DRIP N VAPE,1443 FM 1463 RD STE 500,KATY,TX,77494,5432.0,FORT BEND,1,E-CIG RETAILER,21007516.0,ACTIVE,01/01/2022,
32070898294,YAS BUSINESS LLC,VAPES & VIBES SMOKE SHOP,8603 HIGHWAY 6 S UNIT 2,HOUSTON,TX,77083,6494.0,FORT BEND,2,E-CIG RETAILER,23001727.0,ACTIVE,02/24/2023,
32074392823,ZAYN ENTERPRISE LLC,VAPE TOWN,4327 LAKESHORE FOREST DR,MISSOURI CITY,TX,77459,4486.0,FORT BEND,1,E-CIG RETAILER,22009198.0,ACTIVE,03/22/2022,
32076359622,ZARINE ENTERPRISE LLC,LIGHT IT UP SMOKE & VAPE,1531 FM 359 RD STE 200,RICHMOND,TX,77406,2021.0,FORT BEND,1,E-CIG RETAILER,22001538.0,ACTIVE,01/13/2022,
32076669095,TEJAS 9 LLC,VAPE N MORE,110 CRABB RIVER RD UNIT 112,RICHMOND,TX,77469,5891.0,FORT BEND,1,E-CIG RETAILER,21011566.0,ACTIVE,01/01/2022,
32077673021,FAIZAN ENTERPRISE INC,GREEN ROSE SMOKE & VAPE,5715 READING RD STE D,ROSENBERG,TX,77471,5702.0,FORT BEND,1,E-CIG RETAILER,21010016.0,ACTIVE,01/01/2022,
32079944834,ABOVE SIERRA HOLDINGS LLC,SIERRRA VAPE N SMOKE,1302 PIN OAK RD,KATY,TX,77494,6848.0,FORT BEND,1,E-CIG RETAILER,21007040.0,ACTIVE,01/01/2022,
32081064258,COSTLINE TECHNOLOGY INC,META VAPE,4502 HIGHWAY 6 STE 206B,SUGAR LAND,TX,77478,4488.0,FORT BEND,3,E-CIG RETAILER,22006525.0,ACTIVE,05/01/2022,
32081258207,VAPE ME LLC,VAPE ME LLC,13308 REDFISH LN STE 107,STAFFORD,TX,77477,4428.0,FORT BEND,2,E-CIG RETAILER,22010166.0,ACTIVE,07/29/2022,
32081442058,HOORAIN FATIMA LLC,NEW EDGE SMOKE AND VAPE 5,25031 WESTHEIMER PKWY UNIT 350,KATY,TX,77494,7317.0,FORT BEND,1,E-CIG RETAILER,22013791.0,ACTIVE,12/01/2022,
32081540331,SHIVAY RICHMOND VAPE LP,SHIVAY RICHMOND VAPE LP,20711 BELLAIRE BLVD STE C,RICHMOND,TX,77407,3929.0,FORT BEND,1,E-CIG RETAILER,21004533.0,ACTIVE,01/01/2022,
32082138549,"NVZ JORDAN RANCH, LLC",HOTSPOT LIQUOR & VAPE,2340 TEXAS HERITAGE PKWY STE 600,BROOKSHIRE,TX,77423,,FORT BEND,1,E-CIG RETAILER,22003270.0,ACTIVE,01/31/2022,
32082298962,VAPE GALLERY STORES INC,NEEDVILLE SMOKE SHOP,9009 MAIN ST,NEEDVILLE,TX,77461,8424.0,FORT BEND,5,E-CIG RETAILER,23005049.0,ACTIVE,07/15/2023,
32082419543,SFS BALOCH GROUP LLC,G'S VAPE SHOP VAPE L CDB L GLASS,6850 HIGHWAY 6 STE 500,MISSOURI CITY,TX,77459,4374.0,FORT BEND,1,E-CIG RETAILER,23001672.0,ACTIVE,02/23/2023,
32082541759,FIFTY STATES INVESTMENTS LLC,VAPE & CELL,13107 W BELLFORT AVE STE A,SUGAR LAND,TX,77478,2163.0,FORT BEND,1,E-CIG RETAILER,22002524.0,INACTIVE,02/01/2022,02/01/2022
32082767388,KFAS ENTERPRISES LLC,CBD + VAPE,27252 KATY FWY STE 700,KATY,TX,77494,1005.0,FORT BEND,1,E-CIG RETAILER,22010148.0,ACTIVE,06/23/2022,
32086653162,POPEYE TRADING LLC,DREAMZ SMOKE AND VAPE,10581 S HIGHWAY 6,SUGAR LAND,TX,77498,4906.0,FORT BEND,1,E-CIG RETAILER,22013106.0,ACTIVE,10/30/2022,
32087354257,MAP ARCOLA LLC,GALLERY VAPE & GLASS,13630 HIGHWAY 6 STE 500,ROSHARON,TX,77583,2102.0,FORT BEND,1,E-CIG RETAILER,23009258.0,ACTIVE,11/18/2023,
32089773231,EASY CONVENIENCE LLC,SMOKE & VAPE WORLD,25600 WESTHEIMER PKWY STE 440,KATY,TX,77494,7293.0,FORT BEND,2,E-CIG RETAILER,23007040.0,ACTIVE,09/05/2023,
32092293060,BASH VAPE ENTERPRISES LLC,BASH VAPE ENTERPRISES,913 CRABB RIVER RD STE B,RICHMOND,TX,77469,5889.0,FORT BEND,1,E-CIG RETAILER,,INACTIVE,12/15/2023,
12734468692,TEJAS FOODS LLC,VAPE N MORE JONES,9587 JONES RD UNIT 122,HOUSTON,TX,77065,4800.0,HARRIS,5,E-CIG RETAILER,22010444.0,ACTIVE,08/01/2022,
12734468692,TEJAS FOODS LLC,VAPE N MORE,2755 GESSNER RD STE B,HOUSTON,TX,77080,3702.0,HARRIS,3,E-CIG RETAILER,21011415.0,ACTIVE,01/01/2022,
12734468692,TEJAS FOODS LLC,VAPE N MORE WESTHEIMER,11978 WESTHEIMER RD STE A,HOUSTON,TX,77077,6669.0,HARRIS,4,E-CIG RETAILER,22005117.0,ACTIVE,03/10/2022,
12734468692,TEJAS FOODS LLC,VAPE N MORE PASADENA,1100 PASADENA BLVD,PASADENA,TX,77506,4766.0,HARRIS,7,E-CIG RETAILER,23004671.0,ACTIVE,06/06/2023,
12607150542,NSA CORPORATION,FOREVER VAPES,400 W GRAND PKWY S STE B,KATY,TX,77494,8332.0,HARRIS,2,E-CIG RETAILER,22002801.0,ACTIVE,01/01/2022,
32072700225,DETRIC SMITH,JUICIN & VAPING,6065 SCOTT ST,HOUSTON,TX,77021,2663.0,HARRIS,2,E-CIG RETAILER,22000224.0,ACTIVE,01/01/2022,
32060957407,S&S WIRELESS ZONE INC,VAPE CITY 155,16929 TX 249,HOUSTON,TX,77036,,HARRIS,155,E-CIG RETAILER,23006102.0,ACTIVE,08/02/2023,
32060609594,APNA BRANDS LIMITED LIABILITY COMPANY,STILL SMOKIN SMOKE SHOP & VAPE BAR,6359 WESTHEIMER RD,HOUSTON,TX,77057,5103.0,HARRIS,1,E-CIG RETAILER,22001506.0,ACTIVE,01/15/2022,
32068074718,VAPES & VIBES LLC,VAPES & VIBES,3934 OLD SPANISH TRL STE B,HOUSTON,TX,77021,1462.0,HARRIS,1,E-CIG RETAILER,22008333.0,ACTIVE,06/01/2022,
32069266974,S&A VAPING INC,SMOKE CITY 3,5165 GARTH RD STE 500,BAYTOWN,TX,77521,5551.0,HARRIS,3,E-CIG RETAILER,21010112.0,ACTIVE,01/01/2022,
32071869161,"MAHMOODA ASIF, LLC",NEW EDGE SMOKE & VAPE NO.,14550 SPRING CYPRESS RD STE A,CYPRESS,TX,77429,6665.0,HARRIS,1,E-CIG RETAILER,21007227.0,ACTIVE,01/01/2022,
